seed,protocol,test_table,test_generator,contamination_mode,true_prevalence,valuation_method,real_mean_value,synthetic_mean_value,synthetic_negative_value_rate,source_task_value_gap
2028,P2,adult,TVAE,replace,0.05,knn_shapley,0.0007605811639723979,0.000868957884523748,0.16,-0.00010837672055135012
2028,P2,adult,TVAE,replace,0.1,data_oob,0.8226111885318925,0.809891015856019,0.0,0.012720172675873553
2028,P2,adult,TVAE,replace,0.1,knn_shapley,0.0007882372574452242,0.0007378646829926121,0.13,5.037257445261213e-05
2028,P2,adult,TVAE,replace,0.25,data_oob,0.8204689877879531,0.8097541377189515,0.0,0.010714850069001525
2028,P2,adult,TVAE,replace,0.25,knn_shapley,0.0008387558786620977,0.0006277323640135717,0.208,0.00021102351464852601
2028,P2,adult,TVAE,replace,0.5,data_oob,0.7895859647289493,0.7941368890533839,0.0,-0.004550924324434602
2028,P2,adult,TVAE,replace,0.5,knn_shapley,0.0007674442767870508,0.000760555723212888,0.19,6.888553574162779e-06
2028,P2,adult,TVAE,replace,0.75,data_oob,0.7708799646092223,0.8220625508580742,0.0,-0.05118258624885197
2028,P2,adult,TVAE,replace,0.75,knn_shapley,0.0006638008387773675,0.0008043330537408266,0.11466666666666667,-0.0001405322149634591
2028,P2,adult,TVAE,replace,1.0,data_oob,,0.8328788708217169,0.0,
2028,P2,adult,TVAE,replace,1.0,knn_shapley,,0.0007987999999999682,0.173,
2028,P3,credit,CTGAN,append,0.0,data_oob,0.7931378239978294,,,
2028,P3,credit,CTGAN,append,0.0,knn_shapley,0.0007567999999999657,,,
2028,P3,credit,CTGAN,append,0.050332383665717,data_oob,0.7662104719856313,0.7342614858049012,0.0,0.031948986180730055
2028,P3,credit,CTGAN,append,0.050332383665717,knn_shapley,0.0007145315703833741,0.0006534571873956667,0.14583333333333334,6.107438298770746e-05
2028,P3,credit,CTGAN,append,0.0999099909990999,data_oob,0.7720260393189317,0.7882711968500171,0.0,-0.016245157531085463
