seed,protocol,detector,calibration_policy,quantifier,contamination_mode,prevalence_absolute_error,prevalence_error,decision_regret
2026,P1,c2st_lr,oracle_target,pcc,replace,0.2947814942290137,0.10512455251221263,0.0013437147960181002
2026,P1,c2st_lr,source_only,acc,append,0.03420370725340503,0.0017997763272566865,0.0007308084099849366
2026,P1,c2st_lr,source_only,acc,replace,0.042783445378151236,-0.0030152531781943884,0.0011093945309419075
2026,P1,c2st_lr,source_only,cc,append,0.20669368480045983,-0.18689869904547407,0.0003955642258999233
2026,P1,c2st_lr,source_only,cc,replace,0.2937428571428571,-0.27639142857142857,0.0008319057928135447
2026,P1,c2st_lr,source_only,dys,append,0.02748720308200055,0.004725417868338048,0.0007371785351812534
2026,P1,c2st_lr,source_only,dys,replace,0.03474318773635803,-0.0022111319387431204,0.0009735643540496428
2026,P1,c2st_lr,source_only,emq,append,0.021308332593897524,-8.560651514157619e-05,0.0006235250404764
2026,P1,c2st_lr,source_only,emq,replace,0.024563506153957766,-0.0029620900194893586,0.0010035709261934818
2026,P1,c2st_lr,source_only,hdy,append,0.022183736119431644,-0.0032634490747545726,0.0006323797013064533
2026,P1,c2st_lr,source_only,hdy,replace,0.02701398622580202,-0.007578690454518418,0.0010035709261934818
2026,P1,c2st_lr,source_only,kdey,append,0.022313439915359733,-0.009280611456983225,0.0006235250404764
2026,P1,c2st_lr,source_only,kdey,replace,0.026239353893719515,-0.011980938117266592,0.0010035709261934818
2026,P1,c2st_lr,source_only,median_sweep,append,0.024812621152057346,-0.00841185100979502,0.0006553756664579567
2026,P1,c2st_lr,source_only,median_sweep,replace,0.03267775465249706,-0.013817109252296367,0.00100325068529546
2026,P1,c2st_lr,source_only,pacc,append,0.02166713803183424,-0.004822179208071197,0.0006235250404764
2026,P1,c2st_lr,source_only,pacc,replace,0.0272038644239825,-0.008815247838802233,0.00100325068529546
2026,P1,c2st_lr,source_only,pcc,append,0.2702672609665153,0.19628167634844657,0.0009093587226721467
2026,P1,c2st_lr,source_only,pcc,replace,0.2947814942290137,0.10512455251221263,0.0013437147960181002
2026,P1,c2st_lr,target_real_anchor,acc,append,0.031285409609730364,0.0017118669758831428,0.0007925855478858333
2026,P1,c2st_lr,target_real_anchor,acc,replace,0.04055836625119842,-0.003423117929050862,0.0013175831387402398
2026,P1,c2st_lr,target_real_anchor,cc,append,0.1970024153105512,-0.1686373472510387,0.0005696685274530697
2026,P1,c2st_lr,target_real_anchor,cc,replace,0.28128142857142857,-0.25639,0.0010963607263927819
2026,P1,c2st_lr,target_real_anchor,dys,append,0.02748720308200055,0.004725417868338048,0.0008361863461503233
2026,P1,c2st_lr,target_real_anchor,dys,replace,0.03474318773635803,-0.0022111319387431204,0.0011563898827253254
2026,P1,c2st_lr,target_real_anchor,emq,append,0.021308332593897524,-8.560651514157619e-05,0.00071700335860644
2026,P1,c2st_lr,target_real_anchor,emq,replace,0.024563506153957766,-0.0029620900194893586,0.0011780061433412246
2026,P1,c2st_lr,target_real_anchor,hdy,append,0.022183736119431644,-0.0032634490747545726,0.0007017412111419667
2026,P1,c2st_lr,target_real_anchor,hdy,replace,0.02701398622580202,-0.007578690454518418,0.0011780061433412246
2026,P1,c2st_lr,target_real_anchor,kdey,append,0.022313439915359733,-0.009280611456983225,0.00071700335860644
2026,P1,c2st_lr,target_real_anchor,kdey,replace,0.026239353893719515,-0.011980938117266592,0.0011780061433412246
2026,P1,c2st_lr,target_real_anchor,median_sweep,append,0.024812621152057346,-0.00841185100979502,0.00076060415687093
2026,P1,c2st_lr,target_real_anchor,median_sweep,replace,0.03267775465249706,-0.013817109252296367,0.0011818490341173704
2026,P1,c2st_lr,target_real_anchor,pacc,append,0.02166713803183424,-0.004822179208071197,0.00071700335860644
2026,P1,c2st_lr,target_real_anchor,pacc,replace,0.0272038644239825,-0.008815247838802233,0.0011818490341173704
2026,P1,c2st_lr,target_real_anchor,pcc,append,0.2702672609665153,0.19628167634844657,0.0010967636961894667
2026,P1,c2st_lr,target_real_anchor,pcc,replace,0.2947814942290137,0.10512455251221263,0.0015170451820677112
2026,P1,c2st_xgb,oracle_target,acc,append,0.0058568783316240635,-0.0017775549819884836,0.0008110981404651433
2026,P1,c2st_xgb,oracle_target,acc,replace,0.007533444084602726,-0.002469700931590055,0.007389718842101732
2026,P1,c2st_xgb,oracle_target,cc,append,0.055973449249971476,-0.020488646899065748,0.0010430753096375433
2026,P1,c2st_xgb,oracle_target,cc,replace,0.07687428571428569,-0.04624,0.007303205763503483
