protocol,detector,calibration_policy,contamination_mode,true_prevalence,metric,n_seeds,mean,std,ci95_low,ci95_high
P2,column_positional_ablation,source_only,replace,0.1,detector_cleanup_delta,5,-0.0007584964147101435,0.0018401201688742156,-0.0030433073807698877,0.001526314551349601
P2,column_positional_ablation,source_only,replace,0.1,decision_regret,5,0.00037038170253483595,0.00024707206273409985,6.36012172759623e-05,0.0006771621877937097
P2,column_positional_ablation,source_only,replace,0.25,detection_auroc,5,0.7688575774947563,0.021710591853087245,0.7419003172110819,0.7958148377784307
P2,column_positional_ablation,source_only,replace,0.25,contaminated_utility_delta,5,-0.000598762372837572,0.0017530012552754261,-0.002775400920319075,0.001577876174643931
P2,column_positional_ablation,source_only,replace,0.25,detector_cleanup_delta,5,-0.001712836516670664,0.002417972257404398,-0.00471514561734519,0.0012894725840038618
P2,column_positional_ablation,source_only,replace,0.25,decision_regret,5,0.0016547182899255889,0.0006797507068075278,0.0008106963095291193,0.0024987402703220583
P2,column_positional_ablation,source_only,replace,0.5,detection_auroc,5,0.7688575774947563,0.021710591853087245,0.7419003172110819,0.7958148377784307
P2,column_positional_ablation,source_only,replace,0.5,contaminated_utility_delta,5,-0.003365521308956168,0.0012878671094914583,-0.004964619533282457,-0.001766423084629879
P2,column_positional_ablation,source_only,replace,0.5,detector_cleanup_delta,5,-0.002426211285054472,0.0016507064709009654,-0.00447583408157419,-0.00037658848853475363
P2,column_positional_ablation,source_only,replace,0.5,decision_regret,5,0.0006935566749493386,0.0006845510303436787,-0.00015642569436169962,0.0015435390442603769
P2,column_positional_ablation,source_only,replace,0.75,detection_auroc,5,0.7688575774947563,0.021710591853087245,0.7419003172110819,0.7958148377784307
P2,column_positional_ablation,source_only,replace,0.75,contaminated_utility_delta,5,-0.007492540321696368,0.0032345946542885655,-0.01150882005270883,-0.0034762605906839055
P2,column_positional_ablation,source_only,replace,0.75,detector_cleanup_delta,5,-0.009287113837902209,0.0027841132393306334,-0.012744047014101516,-0.005830180661702902
P2,column_positional_ablation,source_only,replace,0.75,decision_regret,5,0.002447994583137128,0.000364165521833807,0.0019958233652890033,0.002900165800985253
P2,column_positional_ablation,source_only,replace,1.0,detection_auroc,5,0.7688575774947563,0.021710591853087245,0.7419003172110819,0.7958148377784307
P2,column_positional_ablation,source_only,replace,1.0,contaminated_utility_delta,5,-0.013768729461844414,0.004407428162331489,-0.0192412743356808,-0.00829618458800803
P2,column_positional_ablation,source_only,replace,1.0,detector_cleanup_delta,5,-0.029003886258881978,0.012989896238882529,-0.0451329727591049,-0.012874799758659058
P2,column_positional_ablation,source_only,replace,1.0,decision_regret,5,0.015666560184193063,0.01237948600653787,0.000295398093607702,0.031037722274778426
P2,column_positional_ablation,target_real_anchor,append,0.0,detection_auroc,5,0.7688575774947563,0.021710591853087245,0.7419003172110819,0.7958148377784307
P2,column_positional_ablation,target_real_anchor,append,0.0,contaminated_utility_delta,5,0.0019617881469842858,0.0024091826388047497,-0.0010296072007171145,0.004953183494685686
P2,column_positional_ablation,target_real_anchor,append,0.0,detector_cleanup_delta,5,0.0012280837888723297,0.002280065500891517,-0.0016029914571310995,0.004059159034875759
P2,column_positional_ablation,target_real_anchor,append,0.0,decision_regret,5,5.302041684259716e-05,6.11581481610535e-05,-2.2917453925794696e-05,0.00012895828761098901
P2,column_positional_ablation,target_real_anchor,append,0.050332383665717,detection_auroc,5,0.7688575774947563,0.021710591853087245,0.7419003172110819,0.7958148377784307
P2,column_positional_ablation,target_real_anchor,append,0.050332383665717,contaminated_utility_delta,5,0.0019122999887327401,0.0013044307801146392,0.0002926352509155421,0.003531964726549938
P2,column_positional_ablation,target_real_anchor,append,0.050332383665717,detector_cleanup_delta,5,0.001299325633631688,0.0016512938461542776,-0.0007510264855935035,0.0033496777528568794
P2,column_positional_ablation,target_real_anchor,append,0.050332383665717,decision_regret,5,0.00022599357376944153,0.00016816964687014647,1.7183377660140344e-05,0.0004348037698787427
P2,column_positional_ablation,target_real_anchor,append,0.0999099909990999,detection_auroc,5,0.7688575774947563,0.021710591853087245,0.7419003172110819,0.7958148377784307
P2,column_positional_ablation,target_real_anchor,append,0.0999099909990999,contaminated_utility_delta,5,0.0013002660415272118,0.0016511025591480317,-0.0007498485635090003,0.003350380646563424
P2,column_positional_ablation,target_real_anchor,append,0.0999099909990999,detector_cleanup_delta,5,0.00045478697685288,0.0022403072732314145,-0.002326921909232611,0.0032364958629383708
P2,column_positional_ablation,target_real_anchor,append,0.0999099909990999,decision_regret,5,0.00023480213355647203,0.00010183021520081074,0.00010836322141228365,0.00036124104570066037
P2,column_positional_ablation,target_real_anchor,append,0.2498124531132783,detection_auroc,5,0.7688575774947563,0.021710591853087245,0.7419003172110819,0.7958148377784307
P2,column_positional_ablation,target_real_anchor,append,0.2498124531132783,contaminated_utility_delta,5,0.001836580049280436,0.0017252059464555902,-0.0003055460639205211,0.003978706162481393
P2,column_positional_ablation,target_real_anchor,append,0.2498124531132783,detector_cleanup_delta,5,0.001441055391763824,0.0023310929693774003,-0.0014533788247780035,0.004335489608305651
P2,column_positional_ablation,target_real_anchor,append,0.2498124531132783,decision_regret,5,0.000882556037318664,0.0007168734447985136,-7.559910355963654e-06,0.0017726719849932918
P2,column_positional_ablation,target_real_anchor,append,0.5,detection_auroc,5,0.7688575774947563,0.021710591853087245,0.7419003172110819,0.7958148377784307
P2,column_positional_ablation,target_real_anchor,append,0.5,contaminated_utility_delta,5,0.000718265293885156,0.0012837133459862758,-0.0008756753518396951,0.002312205939610007
P2,column_positional_ablation,target_real_anchor,append,0.5,detector_cleanup_delta,5,0.001208718514087872,0.0010797447086751276,-0.00013196161792504543,0.0025493986461007897
P2,column_positional_ablation,target_real_anchor,append,0.5,decision_regret,5,0.0003417320136078632,0.000273658217653853,1.9404569344641954e-06,0.0006815235702812622
P2,column_positional_ablation,target_real_anchor,append,0.75,detection_auroc,5,0.7688575774947563,0.021710591853087245,0.7419003172110819,0.7958148377784307
P2,column_positional_ablation,target_real_anchor,append,0.75,contaminated_utility_delta,5,-0.001956507105616452,0.002143111632122105,-0.004617531663354179,0.0007045174521212753
P2,column_positional_ablation,target_real_anchor,append,0.75,detector_cleanup_delta,5,-0.0004910443212963516,0.003131785432152963,-0.004379669542499703,0.003397580899907
P2,column_positional_ablation,target_real_anchor,append,0.75,decision_regret,5,0.0004847213099191439,0.0005381152655028406,-0.00018343704213959314,0.001152879661977881
P2,column_positional_ablation,target_real_anchor,replace,0.0,detection_auroc,5,0.7688575774947563,0.021710591853087245,0.7419003172110819,0.7958148377784307
P2,column_positional_ablation,target_real_anchor,replace,0.0,contaminated_utility_delta,5,0.0019617881469842858,0.0024091826388047497,-0.0010296072007171145,0.004953183494685686
P2,column_positional_ablation,target_real_anchor,replace,0.0,detector_cleanup_delta,5,0.0012280837888723297,0.002280065500891517,-0.0016029914571310995,0.004059159034875759
