protocol,test_table,test_generator,contamination_mode,true_prevalence,valuation_method,metric,n_seeds,mean,std,ci95_low,ci95_high
P1,adult,CTGAN,append,0.75,data_oob,source_task_value_gap,5,-0.05142043118879558,0.022334429782410892,-0.07915228857002511,-0.023688573807566046
P1,adult,CTGAN,append,0.75,knn_shapley,real_mean_value,5,0.0007310619209904241,7.48616600063068e-05,0.0006381088929148223,0.0008240149490660258
P1,adult,CTGAN,append,0.75,knn_shapley,synthetic_mean_value,5,0.0007885087610095416,2.4471768453194313e-05,0.0007581230471488316,0.0008188944748702515
P1,adult,CTGAN,append,0.75,knn_shapley,synthetic_negative_value_rate,5,0.11483494054947993,0.02674449721094316,0.08162726121259083,0.14804261988636902
P1,adult,CTGAN,append,0.75,knn_shapley,source_task_value_gap,5,-5.744684001911767e-05,9.5715241898636e-05,-0.0001762930099640185,6.139932992578316e-05
P1,adult,CTGAN,replace,0.0,data_oob,real_mean_value,5,0.8121813712553033,0.01242783860902988,0.7967501714789842,0.8276125710316224
P1,adult,CTGAN,replace,0.0,data_oob,synthetic_mean_value,0,,,,
P1,adult,CTGAN,replace,0.0,data_oob,synthetic_negative_value_rate,0,,,,
P1,adult,CTGAN,replace,0.0,data_oob,source_task_value_gap,0,,,,
P1,adult,CTGAN,replace,0.0,knn_shapley,real_mean_value,5,0.0007685599999999648,1.0456003060442964e-05,0.0007555771574347044,0.0007815428425652253
P1,adult,CTGAN,replace,0.0,knn_shapley,synthetic_mean_value,0,,,,
P1,adult,CTGAN,replace,0.0,knn_shapley,synthetic_negative_value_rate,0,,,,
P1,adult,CTGAN,replace,0.0,knn_shapley,source_task_value_gap,0,,,,
P1,adult,CTGAN,replace,0.05,data_oob,real_mean_value,5,0.8168318244971635,0.016580412811177468,0.796244522834168,0.837419126160159
P1,adult,CTGAN,replace,0.05,data_oob,synthetic_mean_value,5,0.8378032498581376,0.022356538830913614,0.8100439404673477,0.8655625592489274
P1,adult,CTGAN,replace,0.05,data_oob,synthetic_negative_value_rate,5,0.0,0.0,0.0,0.0
P1,adult,CTGAN,replace,0.05,data_oob,source_task_value_gap,5,-0.02097142536097405,0.027717327140148344,-0.055387032597332346,0.013444181875384244
P1,adult,CTGAN,replace,0.05,knn_shapley,real_mean_value,5,0.000772978380714117,1.3177414790739787e-05,0.0007566164591790576,0.0007893403022491765
P1,adult,CTGAN,replace,0.05,knn_shapley,synthetic_mean_value,5,0.0008094107664310763,8.387090991626466e-05,0.0007052712770914593,0.0009135502557706932
P1,adult,CTGAN,replace,0.05,knn_shapley,synthetic_negative_value_rate,5,0.1,0.0316227766016838,0.06073513677044886,0.13926486322955114
P1,adult,CTGAN,replace,0.05,knn_shapley,source_task_value_gap,5,-3.643238571695918e-05,9.527340425798068e-05,-0.00015472994177040698,8.186517033648864e-05
P1,adult,CTGAN,replace,0.1,data_oob,real_mean_value,5,0.8174904443378441,0.013639655174631674,0.8005545755595903,0.8344263131160979
