protocol,detector,calibration_policy,metric,n_seeds,mean,std,ci95_low,ci95_high
P1,datum_transformer,source_only,detection_ece,5,0.026303186051915638,0.01657372452008004,0.005724188999185295,0.04688218310464598
P1,datum_transformer,target_real_anchor,detection_auroc,5,0.8996020308531936,0.04020887191732126,0.8496761221850694,0.9495279395213178
P1,datum_transformer,target_real_anchor,detection_auprc,5,0.9247535022473269,0.026342660909037256,0.8920447685796857,0.957462235914968
P1,datum_transformer,target_real_anchor,detection_fpr,5,0.05535939470365694,0.017048170631286375,0.03419129499555391,0.07652749441175996
P1,datum_transformer,target_real_anchor,detection_tpr,5,0.7305800756620429,0.04775027020015168,0.6712902842500125,0.7898698670740733
P1,datum_transformer,target_real_anchor,detection_ece,5,0.026303186051915638,0.01657372452008004,0.005724188999185295,0.04688218310464598
P1,flat_transformer,oracle_target,detection_auroc,5,0.9014358375381054,0.005337538275257987,0.8948084084226829,0.9080632666535279
P1,flat_transformer,oracle_target,detection_auprc,5,0.9221149202578027,0.0045296446557092475,0.9164906235641525,0.927739216951453
P1,flat_transformer,oracle_target,detection_fpr,5,0.0491803278688524,0.00631304678262948,0.04134164495988527,0.05701901077781953
P1,flat_transformer,oracle_target,detection_tpr,5,0.701702395964691,0.01270730376030856,0.6859241943712765,0.7174805975581054
P1,flat_transformer,oracle_target,detection_ece,5,0.03944517602422748,0.017872528159770147,0.017253501251357915,0.06163685079709705
P1,flat_transformer,source_only,detection_auroc,5,0.9014358375381054,0.005337538275257987,0.8948084084226829,0.9080632666535279
P1,flat_transformer,source_only,detection_auprc,5,0.9221149202578027,0.0045296446557092475,0.9164906235641525,0.927739216951453
P1,flat_transformer,source_only,detection_fpr,5,0.0491803278688524,0.00631304678262948,0.04134164495988527,0.05701901077781953
P1,flat_transformer,source_only,detection_tpr,5,0.701702395964691,0.01270730376030856,0.6859241943712765,0.7174805975581054
P1,flat_transformer,source_only,detection_ece,5,0.03944517602422748,0.017872528159770147,0.017253501251357915,0.06163685079709705
P1,flat_transformer,target_real_anchor,detection_auroc,5,0.9014358375381054,0.005337538275257987,0.8948084084226829,0.9080632666535279
P1,flat_transformer,target_real_anchor,detection_auprc,5,0.9221149202578027,0.0045296446557092475,0.9164906235641525,0.927739216951453
P1,flat_transformer,target_real_anchor,detection_fpr,5,0.04943253467843626,0.011718545217664595,0.03488203897033924,0.06398303038653327
P1,flat_transformer,target_real_anchor,detection_tpr,5,0.7015132408575031,0.008556815270362136,0.6908885513970142,0.712137930317992
P1,flat_transformer,target_real_anchor,detection_ece,5,0.03944517602422748,0.017872528159770147,0.017253501251357915,0.06163685079709705
P2,c2st_lr,oracle_target,detection_auroc,5,0.6309930722637708,0.00953404702175218,0.6191549893196793,0.6428311552078623
P2,c2st_lr,oracle_target,detection_auprc,5,0.5959320741167666,0.00849263518200647,0.5853870747613905,0.6064770734721427
P2,c2st_lr,oracle_target,detection_fpr,5,0.04943253467843626,0.004855390493865943,0.04340377110498212,0.0554612982518904
P2,c2st_lr,oracle_target,detection_tpr,5,0.08448928121059264,0.006229846420356078,0.0767539051960979,0.09222465722508738
P2,c2st_lr,oracle_target,detection_ece,5,0.014326043459406301,0.003408750366280401,0.010093520850732033,0.018558566068080568
P2,c2st_lr,source_only,detection_auroc,5,0.3690069277362292,0.009534047021752137,0.35716884479213773,0.3808450106803206
P2,c2st_lr,source_only,detection_auprc,5,0.40481487145028294,0.005337162564258139,0.3981879088416827,0.4114418340588832
P2,c2st_lr,source_only,detection_fpr,5,0.05107187894073136,0.004176431683320248,0.045886154078595066,0.05625760380286766
P2,c2st_lr,source_only,detection_tpr,5,0.00687263556116008,0.0019484914426686627,0.004453263885990289,0.009292007236329872
P2,c2st_lr,source_only,detection_ece,5,0.2324103052982461,0.011297521655757637,0.21838257938936448,0.24643803120712773
P2,c2st_lr,target_real_anchor,detection_auroc,5,0.3690069277362292,0.009534047021752137,0.35716884479213773,0.3808450106803206
P2,c2st_lr,target_real_anchor,detection_auprc,5,0.40481487145028294,0.005337162564258139,0.3981879088416827,0.4114418340588832
P2,c2st_lr,target_real_anchor,detection_fpr,5,0.052206809583858725,0.009064984280618247,0.040951144958332,0.06346247420938544
P2,c2st_lr,target_real_anchor,detection_tpr,5,0.00725094577553588,0.00345348396913724,0.00296287906268433,0.01153901248838743
P2,c2st_lr,target_real_anchor,detection_ece,5,0.2324103052982461,0.011297521655757637,0.21838257938936448,0.24643803120712773
P2,c2st_xgb,oracle_target,detection_auroc,5,0.7389938900276537,0.009248516116681132,0.7275103405287635,0.7504774395265439
P2,c2st_xgb,oracle_target,detection_auprc,5,0.8125767774259103,0.00553798246965427,0.805700463970657,0.8194530908811636
P2,c2st_xgb,oracle_target,detection_fpr,5,0.04785624211853716,0.0027338566694424596,0.04446171071584121,0.05125077352123311
P2,c2st_xgb,oracle_target,detection_tpr,5,0.5238335435056747,0.0063154078299411,0.5159919289692627,0.5316751580420866
P2,c2st_xgb,oracle_target,detection_ece,5,0.09408294747336207,0.007826447789754032,0.08436512901900307,0.10380076592772107
P2,c2st_xgb,source_only,detection_auroc,5,0.7389938900276537,0.009248516116681132,0.7275103405287635,0.7504774395265439
P2,c2st_xgb,source_only,detection_auprc,5,0.8125767774259103,0.00553798246965427,0.805700463970657,0.8194530908811636
P2,c2st_xgb,source_only,detection_fpr,5,0.047919293820933115,0.0028460703160888487,0.044385430773089186,0.05145315686877704
P2,c2st_xgb,source_only,detection_tpr,5,0.5239596469104667,0.006418434133512711,0.5159901083220418,0.5319291854988916
P2,c2st_xgb,source_only,detection_ece,5,0.16861841699020766,0.004711356464272819,0.16276849528581552,0.1744683386945998
P2,c2st_xgb,target_real_anchor,detection_auroc,5,0.7389938900276537,0.009248516116681132,0.7275103405287635,0.7504774395265439
P2,c2st_xgb,target_real_anchor,detection_auprc,5,0.8125767774259103,0.00553798246965427,0.805700463970657,0.8194530908811636
P2,c2st_xgb,target_real_anchor,detection_fpr,5,0.04854981084489278,0.01225662495352694,0.03333120090061249,0.06376842078917307
P2,c2st_xgb,target_real_anchor,detection_tpr,5,0.5244010088272384,0.009116914244245412,0.5130808646354478,0.535721153019029
P2,c2st_xgb,target_real_anchor,detection_ece,5,0.16861841699020766,0.004711356464272819,0.16276849528581552,0.1744683386945998
P2,char3gram,oracle_target,detection_auroc,5,0.7180436798023054,0.009422874964201399,0.706343635199681,0.7297437244049298
P2,char3gram,oracle_target,detection_auprc,5,0.7736211636370659,0.008816896246410268,0.7626735409920004,0.7845687862821314
P2,char3gram,oracle_target,detection_fpr,5,0.0492433795712484,0.0032258202376510775,0.04523799471747995,0.05324876442501685
P2,char3gram,oracle_target,detection_tpr,5,0.41021437578814623,0.014630508654743201,0.39204819991614304,0.42838055166014943
P2,char3gram,oracle_target,detection_ece,5,0.0697718175058064,0.0070593875456933,0.061006430140950994,0.07853720487066179
P2,char3gram,source_only,detection_auroc,5,0.7180436798023054,0.009422874964201399,0.706343635199681,0.7297437244049298
P2,char3gram,source_only,detection_auprc,5,0.7736211636370659,0.008816896246410268,0.7626735409920004,0.7845687862821314
P2,char3gram,source_only,detection_fpr,5,0.0492433795712484,0.0032258202376510775,0.04523799471747995,0.05324876442501685
P2,char3gram,source_only,detection_tpr,5,0.4102774274905422,0.014644428087397481,0.3920939683601367,0.42846088662094767
P2,char3gram,source_only,detection_ece,5,0.13685938695898497,0.004204972505479758,0.13163822398549407,0.14208054993247587
P2,char3gram,target_real_anchor,detection_auroc,5,0.7180436798023054,0.009422874964201399,0.706343635199681,0.7297437244049298
P2,char3gram,target_real_anchor,detection_auprc,5,0.7736211636370659,0.008816896246410268,0.7626735409920004,0.7845687862821314
P2,char3gram,target_real_anchor,detection_fpr,5,0.05264817150063048,0.018106106291686606,0.030166471170592565,0.0751298718306684
P2,char3gram,target_real_anchor,detection_tpr,5,0.4103404791929382,0.04277338916110454,0.3572303017904356,0.4634506565954408
P2,char3gram,target_real_anchor,detection_ece,5,0.13685938695898497,0.004204972505479758,0.13163822398549407,0.14208054993247587
P2,column_positional_ablation,oracle_target,detection_auroc,5,0.7688575774947563,0.021710591853087217,0.741900317211082,0.7958148377784305
P2,column_positional_ablation,oracle_target,detection_auprc,5,0.8300349968159093,0.012712810573943073,0.8142499576102601,0.8458200360215585
P2,column_positional_ablation,oracle_target,detection_fpr,5,0.050693568726355574,0.0037922860362410086,0.04598482368426426,0.05540231376844689
P2,column_positional_ablation,oracle_target,detection_tpr,5,0.5387137452711224,0.018303193534101696,0.5159873288076724,0.5614401617345723
P2,column_positional_ablation,oracle_target,detection_ece,5,0.05471195744232562,0.029830503362776702,0.017672495368469467,0.09175141951618176
P2,column_positional_ablation,source_only,detection_auroc,5,0.7688575774947563,0.021710591853087217,0.741900317211082,0.7958148377784305
P2,column_positional_ablation,source_only,detection_auprc,5,0.8300349968159093,0.012712810573943073,0.8142499576102601,0.8458200360215585
P2,column_positional_ablation,source_only,detection_fpr,5,0.051450189155107115,0.0040335845148958315,0.04644183247924877,0.05645854583096546
P2,column_positional_ablation,source_only,detection_tpr,5,0.5388398486759143,0.018151883193388733,0.5163013088150835,0.561378388536745
P2,column_positional_ablation,source_only,detection_ece,5,0.11955758314823758,0.038680802892981536,0.0715290227744064,0.16758614352206877
P2,column_positional_ablation,target_real_anchor,detection_auroc,5,0.7688575774947563,0.021710591853087217,0.741900317211082,0.7958148377784305
P2,column_positional_ablation,target_real_anchor,detection_auprc,5,0.8300349968159093,0.012712810573943073,0.8142499576102601,0.8458200360215585
P2,column_positional_ablation,target_real_anchor,detection_fpr,5,0.05113493064312732,0.009947892303368441,0.03878299091202641,0.06348687037422823
P2,column_positional_ablation,target_real_anchor,detection_tpr,5,0.5395964691046659,0.01945760620865214,0.5154366599841564,0.5637562782251753
P2,column_positional_ablation,target_real_anchor,detection_ece,5,0.11955758314823758,0.038680802892981536,0.0715290227744064,0.16758614352206877
P2,datum_transformer,oracle_target,detection_auroc,5,0.7537994415193472,0.031139521203085017,0.7151346191201737,0.7924642639185207
P2,datum_transformer,oracle_target,detection_auprc,5,0.8216187690878665,0.01574205004953269,0.8020724322834399,0.841165105892293
P2,datum_transformer,oracle_target,detection_fpr,5,0.048486759142496796,0.003882930450870638,0.043665464194121616,0.05330805409087198
P2,datum_transformer,oracle_target,detection_tpr,5,0.532093316519546,0.014037679565129881,0.5146632351852035,0.5495233978538884
P2,datum_transformer,oracle_target,detection_ece,5,0.04666930850169236,0.03735625277125374,0.00028539432782699603,0.09305322267555773
P2,datum_transformer,source_only,detection_auroc,5,0.7537994415193472,0.031139521203085017,0.7151346191201737,0.7924642639185207
P2,datum_transformer,source_only,detection_auprc,5,0.8216187690878665,0.01574205004953269,0.8020724322834399,0.841165105892293
P2,datum_transformer,source_only,detection_fpr,5,0.04962168978562418,0.003069523693477437,0.0458103727237998,0.05343300684744856
P2,datum_transformer,source_only,detection_tpr,5,0.5322824716267339,0.014182428969348218,0.5146726601684122,0.5498922830850557
P2,datum_transformer,source_only,detection_ece,5,0.10420998184695551,0.050216242847987265,0.041858280977552474,0.16656168271635854
P2,datum_transformer,target_real_anchor,detection_auroc,5,0.7537994415193472,0.031139521203085017,0.7151346191201737,0.7924642639185207
