protocol,detector,calibration_policy,quantifier,contamination_mode,metric,n_seeds,mean,std,ci95_low,ci95_high
P1,c2st_lr,source_only,hdy,append,prevalence_error,5,0.0007832769466732156,0.008929383244278494,-0.010304016753911318,0.011870570647257748
P1,c2st_lr,source_only,hdy,append,decision_regret,5,0.0006391758118918227,0.0002231957526015474,0.0003620416813344872,0.0009163099424491582
P1,c2st_lr,source_only,hdy,replace,prevalence_absolute_error,5,0.026310919429673972,0.0025642706605022913,0.02312695686887809,0.029494881990469853
P1,c2st_lr,source_only,hdy,replace,prevalence_error,5,-0.0020000506073278757,0.00790475738090186,-0.011815103261729194,0.007815002047073444
P1,c2st_lr,source_only,hdy,replace,decision_regret,5,0.0006602193408104942,0.00022091809796698824,0.0003859132920132327,0.0009345253896077556
P1,c2st_lr,source_only,kdey,append,prevalence_absolute_error,5,0.022339759317249436,0.001254423121209551,0.020782187289129138,0.023897331345369734
P1,c2st_lr,source_only,kdey,append,prevalence_error,5,-0.004486986799822304,0.007951601907910917,-0.014360204616923652,0.0053862310172790445
P1,c2st_lr,source_only,kdey,append,decision_regret,5,0.0006230135056504103,0.00024132850406668484,0.00032336459041043704,0.0009226624208903835
P1,c2st_lr,source_only,kdey,replace,prevalence_absolute_error,5,0.02547063204089592,0.001223352309425532,0.023951639521162804,0.026989624560629033
P1,c2st_lr,source_only,kdey,replace,prevalence_error,5,-0.005328556419903375,0.007126739794892329,-0.014177572647787257,0.003520459807980508
P1,c2st_lr,source_only,kdey,replace,decision_regret,5,0.000656118757244432,0.000222395957104434,0.00037997770396178766,0.0009322598105270764
P1,c2st_lr,source_only,median_sweep,append,prevalence_absolute_error,5,0.02439992583079513,0.0004772500307196622,0.023807341649508883,0.024992510012081377
P1,c2st_lr,source_only,median_sweep,append,prevalence_error,5,-0.0026308108404727946,0.008211007466534637,-0.012826123200651152,0.007564501519705563
P1,c2st_lr,source_only,median_sweep,append,decision_regret,5,0.0006466551593070258,0.00021294839392401336,0.0003822448050962652,0.0009110655135177864
P1,c2st_lr,source_only,median_sweep,replace,prevalence_absolute_error,5,0.029724278117250667,0.002410645258773409,0.02673106668699113,0.032717489547510206
P1,c2st_lr,source_only,median_sweep,replace,prevalence_error,5,-0.005539045373104378,0.007305434082523714,-0.01460993986462482,0.0035318491184160635
P1,c2st_lr,source_only,median_sweep,replace,decision_regret,5,0.000654064223805183,0.00022164062716182993,0.0003788610365190355,0.0009292674110913306
P1,c2st_lr,source_only,pacc,append,prevalence_absolute_error,5,0.022182789494482304,0.0017444767170150097,0.02001673555926007,0.024348843429704538
P1,c2st_lr,source_only,pacc,append,prevalence_error,5,-0.0003038472998282501,0.00846746607323868,-0.010817595078980518,0.010209900479324017
P1,c2st_lr,source_only,pacc,append,decision_regret,5,0.0006324525543252451,0.0002314610691241748,0.0003450556778080044,0.0009198494308424859
P1,c2st_lr,source_only,pacc,replace,prevalence_absolute_error,5,0.026296324608973715,0.002086084261233767,0.02370610888458025,0.02888654033336718
P1,c2st_lr,source_only,pacc,replace,prevalence_error,5,-0.0027990583783117145,0.007560865947932171,-0.012187113421103866,0.006588996664480438
P1,c2st_lr,source_only,pacc,replace,decision_regret,5,0.000654064223805183,0.00022164062716182993,0.0003788610365190355,0.0009292674110913306
P1,c2st_lr,source_only,pcc,append,prevalence_absolute_error,5,0.26947942307983996,0.0013567218382515708,0.26779483041770613,0.2711640157419738
P1,c2st_lr,source_only,pcc,append,prevalence_error,5,0.19613789947269988,0.0011367181813830931,0.19472647743077284,0.19754932151462692
P1,c2st_lr,source_only,pcc,append,decision_regret,5,0.0006941843810130411,0.0002901826981789301,0.0003338749717826347,0.0010544937902434476
P1,c2st_lr,source_only,pcc,replace,prevalence_absolute_error,5,0.29351688607820653,0.0015025875289497062,0.29165117723935974,0.2953825949170533
P1,c2st_lr,source_only,pcc,replace,prevalence_error,5,0.10564579666635368,0.0008819845104484599,0.10455066825275645,0.10674092507995091
P1,c2st_lr,source_only,pcc,replace,decision_regret,5,0.0007233953517385575,0.00040524921427942005,0.00022021199206743883,0.0012265787114096763
P1,c2st_lr,target_real_anchor,acc,append,prevalence_absolute_error,5,0.03405160170425734,0.0035439019509004954,0.02965126623866011,0.038451937169854566
