record_id,source_type,value
mix:2c4b73373e277f1ecbaf4b88,real,0.0013764811667868
mix:c4c55edaf73e5bba3da7d973,synthetic,0.0010086541389443
mix:9c7c76f7be580ce973ef739c,real,0.0016327612092003
mix:5ac388b39408fc2c907aef80,real,0.0017035710609067
mix:8160de6d2ce372e8456880ac,real,0.0029853796677821
mix:3f3c6a0625cf12869e4081f5,real,0.0036525226922582
mix:570bc4007954fc49d3d78f52,real,0.0022419893194551
mix:578f144a80dacbffe5900f18,real,0.0014780442548694
mix:4cc07561bec64ef1c66f18db,synthetic,0.0010171881201531
mix:f8879d7f71e66db20de67617,synthetic,0.001494077860582
mix:3cec96aa53496eb52c5b3084,real,0.0021889063074336
mix:02589e4ca8c8bbad15b452a8,real,0.001745604987805
mix:8f0ff315208fb8316e3bef11,synthetic,-0.0009091843757655
mix:9087a16ddeec6c53922a100b,real,0.0002205744754114
mix:9d334e3590edf7606436deab,real,-0.0052644645741751
mix:ea5364ea7818320da28f36bb,real,-0.0018693267975355
mix:a81cbadfdbd6efecf6bc7a1b,real,0.0017197771932055
mix:c99949f16658628c592bc09a,real,0.0013847786819391
mix:76350ddf3eeb0bc44043bef4,synthetic,0.0013622455132722
mix:1d9e151a1b839b3788fb398d,real,0.0012605080786109
mix:661742e6b580939561f875a6,real,-0.0006767909813744
mix:1e696c7fb660e1e40f4fcb93,real,0.0019214896494904
mix:a2a05bd40a19630693180f7b,real,-0.0056236664016298
mix:be75d8bf6dc59ed5732c0e5b,real,0.0021060806243202
mix:9e2b9feafd03fd3b7f49876a,real,0.0020522464851708
mix:94dd7217b295a81c5b073fe3,real,0.0021032410599595
mix:f5a1693e33fe85eeeaac3017,real,0.0019638546073077
mix:1a83537e3019b42a9ffe4b96,real,0.0012221375689077
mix:efa04017cf3bcbe9525e8830,synthetic,5.3916686280937e-06
mix:4a2aac26701b4f7df3c583f8,real,0.003103257970358
mix:52a92cf4d333f10d8967859b,real,0.0031859656801686
mix:11a2596b4e5d82f3752b9e21,real,0.0014062494157074
mix:718d1cac515a06127e05919a,real,0.0005852131328489
mix:9a62a6934f4a855861585587,real,-0.0021186839554539
mix:20d3c0bfdd27fde959b83f2f,real,0.002553603519262
mix:2017d202c34e3960f4705872,real,0.0014565007489225
mix:f16486c3e58d3c5fc21541f2,synthetic,0.0001356266436389
mix:26cce6f9274b976a638c91e0,synthetic,0.0011956464634999
mix:d1698b0cd39f06f791ffe1cc,real,0.0021386558192361
mix:5081088c67a92622bd77f679,real,0.0023643619605324
mix:b5ba108b67608812c0ab503e,real,0.0013445497035222
mix:71a1fda9b1f126e7e9061e60,synthetic,0.0010098009759216
mix:f06ad83bb6e86140c6cbb057,synthetic,0.0010320924149163
mix:07ec5ccf1d6d171012c2ed17,synthetic,0.002081944185153
mix:c003d7e3138be5cb4223faf0,real,0.0002540344363822
mix:e6d3eda238e4cb4be5f03354,synthetic,0.0015360812697141
mix:1f1b342decdf4b30a86802fc,synthetic,0.00135747556989
mix:8c5305a8b2ca004932110dcf,synthetic,0.0013744993875382
mix:03d02a93622d8780369d684f,real,0.0014838662556168
mix:de772e4f20e001a89c79e4f7,real,0.0022299458885798
mix:1e9cd7ba3678d57376080deb,synthetic,6.092060058949674e-05
mix:b84d11ae10f7d7837c7e38eb,synthetic,0.0001999605462236
mix:f72bb76c795e609a90bb467d,real,0.001496561044187
mix:7f4933f55fb739e9986b7766,synthetic,0.0014700045301495
mix:239d1016a56fb90f974038cb,real,-0.0007681547187619
mix:119e50edb7acf65fdaf37a33,real,0.0012539023396916
mix:9cde829e3af3900da45edf18,real,0.0014206912595461
mix:6c886fa635b82f5d0435b276,real,0.0014189346672608
mix:ec176942f77b6434e95d711a,synthetic,0.000998849810304
mix:3780ee4a995628d4abf597f4,real,0.0006643955825031
mix:48d8837578c12f9097819d74,real,-0.0041628269974205
