algorithm_id,bag_id,true_proportion,raw,clipped,out_of_range
Q-DyS,bag:adult:GaussianCopula:s42:test:p000:b01,0.0,5.9608609865491405e-06,5.9608609865491405e-06,False
Q-DyS,bag:adult:GaussianCopula:s42:test:p000:b02,0.0,5.179279818051347e-06,5.179279818051347e-06,False
Q-DyS,bag:adult:GaussianCopula:s42:test:p005:b00,0.05,0.0504303547733385,0.0504303547733385,False
Q-DyS,bag:adult:GaussianCopula:s42:test:p005:b01,0.05,0.0515936932311043,0.0515936932311043,False
Q-DyS,bag:adult:GaussianCopula:s42:test:p005:b02,0.05,0.0493280224421151,0.0493280224421151,False
Q-DyS,bag:adult:GaussianCopula:s42:test:p010:b00,0.1,0.0919849491409142,0.0919849491409142,False
Q-DyS,bag:adult:GaussianCopula:s42:test:p010:b01,0.1,0.1004626999871443,0.1004626999871443,False
Q-DyS,bag:adult:GaussianCopula:s42:test:p010:b02,0.1,0.0982897427760748,0.0982897427760748,False
Q-DyS,bag:adult:GaussianCopula:s42:test:p025:b00,0.25,0.2525754129344095,0.2525754129344095,False
Q-DyS,bag:adult:GaussianCopula:s42:test:p025:b01,0.25,0.2409127121374493,0.2409127121374493,False
Q-DyS,bag:adult:GaussianCopula:s42:test:p025:b02,0.25,0.2500581499623635,0.2500581499623635,False
Q-DyS,bag:adult:GaussianCopula:s42:test:p050:b00,0.5,0.4937583872589302,0.4937583872589302,False
Q-DyS,bag:adult:GaussianCopula:s42:test:p050:b01,0.5,0.5005467993078804,0.5005467993078804,False
Q-DyS,bag:adult:GaussianCopula:s42:test:p050:b02,0.5,0.5047340833635191,0.5047340833635191,False
Q-DyS,bag:adult:GaussianCopula:s42:test:p075:b00,0.75,0.7517199850809587,0.7517199850809587,False
Q-DyS,bag:adult:GaussianCopula:s42:test:p075:b01,0.75,0.7564289305067122,0.7564289305067122,False
Q-DyS,bag:adult:GaussianCopula:s42:test:p075:b02,0.75,0.7429456490460227,0.7429456490460227,False
Q-DyS,bag:adult:GaussianCopula:s42:test:p100:b00,1.0,0.9999940391390134,0.9999940391390134,False
Q-DyS,bag:adult:GaussianCopula:s42:test:p100:b01,1.0,0.9999940391390134,0.9999940391390134,False
Q-DyS,bag:adult:GaussianCopula:s42:test:p100:b02,1.0,0.9998172848526092,0.9998172848526092,False
Q-MS,bag:adult:GaussianCopula:s42:test:p000:b00,0.0,-0.0007346571022628,0.0,True
Q-MS,bag:adult:GaussianCopula:s42:test:p000:b01,0.0,-0.0040167133908331,0.0,True
Q-MS,bag:adult:GaussianCopula:s42:test:p000:b02,0.0,-0.0013830897703549,0.0,True
Q-MS,bag:adult:GaussianCopula:s42:test:p005:b00,0.05,0.0498586065282573,0.0498586065282573,False
Q-MS,bag:adult:GaussianCopula:s42:test:p005:b01,0.05,0.0523418553688823,0.0523418553688823,False
Q-MS,bag:adult:GaussianCopula:s42:test:p005:b02,0.05,0.0495112714156898,0.0495112714156898,False
Q-MS,bag:adult:GaussianCopula:s42:test:p010:b00,0.1,0.0949503365761184,0.0949503365761184,False
Q-MS,bag:adult:GaussianCopula:s42:test:p010:b01,0.1,0.1004643587344491,0.1004643587344491,False
Q-MS,bag:adult:GaussianCopula:s42:test:p010:b02,0.1,0.0979096502820764,0.0979096502820764,False
