algorithm_id,model,condition,proportion,n_train,auroc,auprc,f1,balanced_accuracy,log_loss,train_seconds,delta_auroc_vs_real_only
V-CURVE-LR,lr,real_append_bootstrap_control,0.75,3500,0.9054011582910017,0.7746490805635328,0.673355629877369,0.7792912909420425,0.3158187954875975,0.2542506999961915,-0.0011533067228227
V-CURVE-LR,lr,real_append_bootstrap_control,1.0,3500,0.9069864358391796,0.7770146296404246,0.6797687861271676,0.778693177491551,0.3137113904648472,0.230122000000847,-0.0018303379202542
V-CURVE-LR,lr,synthetic_append,0.0,3500,0.90468120691541,0.7751459475469501,0.6795016987542469,0.7811063991216594,0.3168574629879187,0.2568650000030175,-0.0015631251981597
V-CURVE-LR,lr,synthetic_append,0.05,3500,0.8938473232346308,0.742555870068838,0.6320754716981132,0.7482620789149779,0.3343411912098458,0.2590073999963351,-0.0114915315719446
V-CURVE-LR,lr,synthetic_append,0.1,3500,0.8927092462524454,0.7324099143385961,0.6459054209919262,0.7586549923782071,0.3365805065993857,0.2652702999985195,-0.0169216263701573
V-CURVE-LR,lr,synthetic_append,0.25,3500,0.8872293086666915,0.7103167698254762,0.6113116726835138,0.7344452428520597,0.3481391725450036,0.2982739999933983,-0.019445609750357
V-CURVE-LR,lr,synthetic_append,0.5,3500,0.8879672588266729,0.7086356248977874,0.6105769230769231,0.7341178034283531,0.348528974814326,0.271984800005157,-0.0160535311538192
V-CURVE-LR,lr,synthetic_append,0.75,3500,0.8805614513112114,0.7030400155386325,0.586427656850192,0.7162041671339427,0.360205137591386,0.2372079000051599,-0.0259930137026129
V-CURVE-LR,lr,synthetic_append,1.0,3500,0.8846028706676581,0.7032711640619991,0.5688073394495413,0.705483814247007,0.3602438513637557,0.2484803999977884,-0.0242139030917756
V-CURVE-LR,lr,synthetic_replace,0.0,3500,0.9075956254646802,0.7814309273226545,0.6688963210702341,0.7765222471897667,0.3119686740760369,0.2780534999983501,0.0013512933511106
V-CURVE-LR,lr,synthetic_replace,0.05,3500,0.8915545550077465,0.7379331956620138,0.6319526627218935,0.7478598753099598,0.3369829701141495,0.2560813000018243,-0.0137842997988288
V-CURVE-LR,lr,synthetic_replace,0.1,3500,0.8915199419608429,0.7290516258323791,0.6431818181818182,0.7585518454984348,0.340195734494895,0.2674729999998817,-0.0181109306617598
V-CURVE-LR,lr,synthetic_replace,0.25,3500,0.8906643074413897,0.7189371048410215,0.612590799031477,0.7346979180944548,0.3454063212216609,0.2236753999968641,-0.0160106109756588
V-CURVE-LR,lr,synthetic_replace,0.5,3500,0.8905120100350145,0.727860573202663,0.547486033519553,0.6917985077623219,0.3573706720661421,0.2348366000005626,-0.0135087799454777
V-CURVE-LR,lr,synthetic_replace,0.75,3500,0.8774684294399194,0.6697237593908657,0.4279210925644917,0.6343138517260142,0.3826793993603319,0.2571249999964493,-0.0290860355739049
